seed,alt_ft,vc_kts,gamma_true,mode,integrity_source,fault_onset_s,noise,max_abs_dh,ise_h,max_abs_q,max_abs_theta,min_theta,max_theta,control_effort,residual_steps,crash,interlock,detect_delay_s,mae_gamma_online,final_h,final_vc,ok,note
14,10000.0,300.0,1.0,TECS_MRAC,none,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
15,10000.0,300.0,1.0,TECS_MRAC,none,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
16,10000.0,300.0,1.0,TECS_MRAC,none,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
17,10000.0,300.0,1.0,TECS_MRAC,none,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
18,10000.0,300.0,1.0,TECS_MRAC,none,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
19,10000.0,300.0,1.0,TECS_MRAC,none,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
0,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
1,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
2,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
3,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
4,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
5,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
6,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
7,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
8,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
9,10000.0,300.0,1.0,HYBRID,oracle,1000000000.0,0,1441.090834211558,44632691.69172327,3.891747289974233,2.7732172016619634,0.46862730836018784,2.7732172016619634,0.018441147985265294,0,0,0,nan,nan,11636.201290998608,586.7364537515691,1,
